id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,nama_bank,jumlah_pembayaran,satuan,tahun
140,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II CLDG,NIAGA,0,RUPIAH,2016
141,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BJB,203743600,RUPIAH,2016
142,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BCA,4937000,RUPIAH,2016
143,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BNI,84531900,RUPIAH,2016
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,BRI,13811700,RUPIAH,2016
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,PERMATA,0,RUPIAH,2016
146,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,NIAGA,0,RUPIAH,2016
147,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BJB,41313800,RUPIAH,2016
148,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BCA,3502900,RUPIAH,2016
149,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BNI,22155800,RUPIAH,2016
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,BRI,10220800,RUPIAH,2016
151,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,PERMATA,0,RUPIAH,2016
152,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,NIAGA,0,RUPIAH,2016
153,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,BJB,20966400,RUPIAH,2016
154,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BJB,4964400,RUPIAH,2016
155,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,BCA,6042000,RUPIAH,2016
156,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BCA,189000,RUPIAH,2016
157,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,BNI,4336500,RUPIAH,2016
158,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BNI,2180700,RUPIAH,2016
159,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,BRI,7930300,RUPIAH,2016
160,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,BRI,9503600,RUPIAH,2016
161,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,PERMATA,0,RUPIAH,2016
162,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,PERMATA,0,RUPIAH,2016
163,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,NIAGA,0,RUPIAH,2016
164,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II HRGLS,NIAGA,0,RUPIAH,2016
165,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BJB,342822400,RUPIAH,2016
166,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BCA,38890200,RUPIAH,2016
167,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BNI,30271000,RUPIAH,2016
168,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,BRI,27808000,RUPIAH,2016
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,PERMATA,0,RUPIAH,2016
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,NIAGA,0,RUPIAH,2016
171,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BJB,339317100,RUPIAH,2016
172,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BCA,31115900,RUPIAH,2016
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BNI,33143800,RUPIAH,2016
174,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,BRI,20687200,RUPIAH,2016
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,PERMATA,0,RUPIAH,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,NIAGA,3270800,RUPIAH,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BJB,12808700,RUPIAH,2016
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BCA,27999500,RUPIAH,2016
179,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BNI,20553700,RUPIAH,2016
180,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,BRI,23966500,RUPIAH,2016
181,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,PERMATA,0,RUPIAH,2016
182,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KABUPATEN KARAWANG,NIAGA,0,RUPIAH,2016
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BJB,290910800,RUPIAH,2016
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BCA,70511300,RUPIAH,2016
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BNI,53508800,RUPIAH,2016
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,BRI,19042200,RUPIAH,2016
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,PERMATA,0,RUPIAH,2016
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,KABUPATEN BEKASI CKRG,NIAGA,0,RUPIAH,2016
189,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BJB,89336900,RUPIAH,2016
190,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BCA,50780800,RUPIAH,2016
191,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BNI,35935700,RUPIAH,2016
192,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,BRI,12012200,RUPIAH,2016
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,PERMATA,0,RUPIAH,2016
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT PDLG,NIAGA,0,RUPIAH,2016
195,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BJB,25400500,RUPIAH,2016
196,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BCA,490000,RUPIAH,2016
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BNI,3387500,RUPIAH,2016
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,BRI,890900,RUPIAH,2016
199,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,PERMATA,0,RUPIAH,2016
200,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,NIAGA,0,RUPIAH,2016
201,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BJB,251511100,RUPIAH,2016
202,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BCA,163836200,RUPIAH,2016
203,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BNI,59623700,RUPIAH,2016
204,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,BRI,22364900,RUPIAH,2016
205,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,PERMATA,0,RUPIAH,2016
206,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,NIAGA,148800,RUPIAH,2016
207,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,BJB,143490300,RUPIAH,2016
208,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,BCA,192248600,RUPIAH,2016
209,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,BNI,58818800,RUPIAH,2016
